name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary
Golem,rock,ground,80,120,130,55,65,45,1,0
Ponyta,fire,none,50,85,55,65,65,90,1,0
Rapidash,fire,none,65,100,70,80,80,105,1,0
Slowpoke,water,psychic,90,65,65,40,40,15,1,0
Slowbro,water,psychic,95,75,180,130,80,30,1,0
Magnemite,electric,steel,25,35,70,95,55,45,1,0
Magneton,electric,steel,50,60,95,120,70,70,1,0
Farfetch'd,normal,flying,52,90,55,58,62,60,1,0
Doduo,normal,flying,35,85,45,35,35,75,1,0
Dodrio,normal,flying,60,110,70,60,60,110,1,0
Seel,water,none,65,45,55,45,70,45,1,0
Dewgong,water,ice,90,70,80,70,95,70,1,0
Grimer,poison,poison,80,80,50,40,50,25,1,0
Muk,poison,poison,105,105,75,65,100,50,1,0
Shellder,water,none,30,65,100,45,25,40,1,0
Cloyster,water,ice,50,95,180,85,45,70,1,0
Gastly,ghost,poison,30,35,30,100,35,80,1,0
Haunter,ghost,poison,45,50,45,115,55,95,1,0
Gengar,ghost,poison,60,65,80,170,95,130,1,0
Onix,rock,ground,35,45,160,30,45,70,1,0
Drowzee,psychic,none,60,48,45,43,90,42,1,0
Hypno,psychic,none,85,73,70,73,115,67,1,0
Krabby,water,none,30,105,90,25,25,50,1,0
Kingler,water,none,55,130,115,50,50,75,1,0
Voltorb,electric,none,40,30,50,55,55,100,1,0
Electrode,electric,none,60,50,70,80,80,150,1,0
Exeggcute,grass,psychic,60,40,80,60,45,40,1,0
Exeggutor,grass,psychic,95,105,85,125,75,45,1,0
Cubone,ground,none,50,50,95,40,50,35,1,0
Marowak,ground,fire,60,80,110,50,80,45,1,0
Hitmonlee,fighting,none,50,120,53,35,110,87,1,0
Hitmonchan,fighting,none,50,105,79,35,110,76,1,0
Lickitung,normal,none,90,55,75,60,75,30,1,0
Koffing,poison,none,40,65,95,60,45,35,1,0
Weezing,poison,none,65,90,120,85,70,60,1,0
Rhyhorn,ground,rock,80,85,95,30,30,25,1,0
Rhydon,ground,rock,105,130,120,45,45,40,1,0
Chansey,normal,none,250,5,5,35,105,50,1,0
Tangela,grass,none,65,55,115,100,40,60,1,0
Kangaskhan,normal,none,105,125,100,60,100,100,1,0
Horsea,water,none,30,40,70,70,25,60,1,0
Seadra,water,none,55,65,95,95,45,85,1,0
Goldeen,water,none,45,67,60,35,50,63,1,0
Seaking,water,none,80,92,65,65,80,68,1,0
Staryu,water,none,30,45,55,70,55,85,1,0
Starmie,water,psychic,60,75,85,100,85,115,1,0
Mr. Mime,psychic,fairy,40,45,65,100,120,90,1,0
Scyther,bug,flying,70,110,80,55,80,105,1,0
Jynx,ice,psychic,65,50,35,115,95,95,1,0
Electabuzz,electric,none,65,83,57,95,85,105,1,0
Magmar,fire,none,65,95,57,100,85,93,1,0
Pinsir,bug,none,65,155,120,65,90,105,1,0
Tauros,normal,none,75,100,95,40,70,110,1,0
Magikarp,water,none,20,10,55,15,20,80,1,0
Gyarados,water,flying,95,155,109,70,130,81,1,0
Lapras,water,ice,130,85,80,85,95,60,1,0
Ditto,normal,none,48,48,48,48,48,48,1,0
Eevee,normal,none,55,55,50,45,65,55,1,0
Vaporeon,water,none,130,65,60,110,95,65,1,0
Jolteon,electric,none,65,65,60,110,95,130,1,0
Flareon,fire,none,65,130,60,95,110,65,1,0
Porygon,normal,none,65,60,70,85,75,40,1,0
Omanyte,rock,water,35,40,100,90,55,35,1,0
Omastar,rock,water,70,60,125,115,70,55,1,0
Kabuto,rock,water,30,80,90,55,45,55,1,0
Kabutops,rock,water,60,115,105,65,70,80,1,0
Aerodactyl,rock,flying,80,135,85,70,95,150,1,0
Snorlax,normal,none,160,110,65,65,110,30,1,0
Articuno,ice,flying,90,85,100,95,125,85,1,1
Zapdos,electric,flying,90,90,85,125,90,100,1,1
Moltres,fire,flying,90,100,90,125,85,90,1,1
Dratini,dragon,none,41,64,45,50,50,50,1,0
Dragonair,dragon,none,61,84,65,70,70,70,1,0
Dragonite,dragon,flying,91,134,95,100,100,80,1,0
Mewtwo,psychic,none,106,150,70,194,120,140,1,1
Mew,psychic,none,100,100,100,100,100,100,1,1
Chikorita,grass,none,45,49,65,49,65,45,2,0
Bayleef,grass,none,60,62,80,63,80,60,2,0
Meganium,grass,none,80,82,100,83,100,80,2,0
Cyndaquil,fire,none,39,52,43,60,50,65,2,0
Quilava,fire,none,58,64,58,80,65,80,2,0
Typhlosion,fire,none,78,84,78,109,85,100,2,0
Totodile,water,none,50,65,64,44,48,43,2,0
Croconaw,water,none,65,80,80,59,63,58,2,0
Feraligatr,water,none,85,105,100,79,83,78,2,0
Sentret,normal,none,35,46,34,35,45,20,2,0
Furret,normal,none,85,76,64,45,55,90,2,0
Hoothoot,normal,flying,60,30,30,36,56,50,2,0
Noctowl,normal,flying,100,50,50,86,96,70,2,0
Ledyba,bug,flying,40,20,30,40,80,55,2,0
Ledian,bug,flying,55,35,50,55,110,85,2,0
Spinarak,bug,poison,40,60,40,40,40,30,2,0
Ariados,bug,poison,70,90,70,60,70,40,2,0
Crobat,poison,flying,85,90,80,70,80,130,2,0
Chinchou,water,electric,75,38,38,56,56,67,2,0
Lanturn,water,electric,125,58,58,76,76,67,2,0
Pichu,electric,none,20,40,15,35,35,60,2,0
Cleffa,fairy,none,50,25,28,45,55,15,2,0
Igglybuff,normal,fairy,90,30,15,40,20,15,2,0
Togepi,fairy,none,35,20,65,40,65,20,2,0
Togetic,fairy,flying,55,40,85,80,105,40,2,0
Natu,psychic,flying,40,50,45,70,45,70,2,0
Xatu,psychic,flying,65,75,70,95,70,95,2,0
Mareep,electric,none,55,40,40,65,45,35,2,0
Flaaffy,electric,none,70,55,55,80,60,45,2,0
Ampharos,electric,none,90,95,105,165,110,45,2,0
Bellossom,grass,none,75,80,95,90,100,50,2,0
Marill,water,fairy,70,20,50,20,50,40,2,0
Azumarill,water,fairy,100,50,80,60,80,50,2,0
Sudowoodo,rock,none,70,100,115,30,65,30,2,0
Politoed,water,none,90,75,75,90,100,70,2,0
Hoppip,grass,flying,35,35,40,35,55,50,2,0
Skiploom,grass,flying,55,45,50,45,65,80,2,0
Jumpluff,grass,flying,75,55,70,55,95,110,2,0
Aipom,normal,none,55,70,55,40,55,85,2,0
Sunkern,grass,none,30,30,30,30,30,30,2,0
Sunflora,grass,none,75,75,55,105,85,30,2,0
Yanma,bug,flying,65,65,45,75,45,95,2,0
Wooper,water,ground,55,45,45,25,25,15,2,0
Quagsire,water,ground,95,85,85,65,65,35,2,0
Espeon,psychic,none,65,65,60,130,95,110,2,0
Umbreon,dark,none,95,65,110,60,130,65,2,0
Murkrow,dark,flying,60,85,42,85,42,91,2,0
Slowking,water,psychic,95,75,80,100,110,30,2,0
Misdreavus,ghost,none,60,60,60,85,85,85,2,0
Unown,psychic,none,48,72,48,72,48,48,2,0
Wobbuffet,psychic,none,190,33,58,33,58,33,2,0
Girafarig,normal,psychic,70,80,65,90,65,85,2,0
Pineco,bug,none,50,65,90,35,35,15,2,0
Forretress,bug,steel,75,90,140,60,60,40,2,0
Dunsparce,normal,none,100,70,70,65,65,45,2,0
Gligar,ground,flying,65,75,105,35,65,85,2,0
Steelix,steel,ground,75,125,230,55,95,30,2,0
Snubbull,fairy,none,60,80,50,40,40,30,2,0
Granbull,fairy,none,90,120,75,60,60,45,2,0
Qwilfish,water,poison,65,95,85,55,55,85,2,0
Scizor,bug,steel,70,150,140,65,100,75,2,0
Shuckle,bug,rock,20,10,230,10,230,5,2,0
Heracross,bug,fighting,80,185,115,40,105,75,2,0
Sneasel,dark,ice,55,95,55,35,75,115,2,0
Teddiursa,normal,none,60,80,50,50,50,40,2,0
Ursaring,normal,none,90,130,75,75,75,55,2,0
Slugma,fire,none,40,40,40,70,40,20,2,0
Magcargo,fire,rock,60,50,120,90,80,30,2,0
Swinub,ice,ground,50,50,40,30,30,50,2,0
Piloswine,ice,ground,100,100,80,60,60,50,2,0
Corsola,water,rock,65,55,95,65,95,35,2,0
Remoraid,water,none,35,65,35,65,35,65,2,0
Octillery,water,none,75,105,75,105,75,45,2,0
Delibird,ice,flying,45,55,45,65,45,75,2,0
Mantine,water,flying,85,40,70,80,140,70,2,0
Skarmory,steel,flying,65,80,140,40,70,70,2,0
Houndour,dark,fire,45,60,30,80,50,65,2,0
Houndoom,dark,fire,75,90,90,140,90,115,2,0
Kingdra,water,dragon,75,95,95,95,95,85,2,0
Phanpy,ground,none,90,60,60,40,40,40,2,0
Donphan,ground,none,90,120,120,60,60,50,2,0
Porygon2,normal,none,85,80,90,105,95,60,2,0
Stantler,normal,none,73,95,62,85,65,85,2,0
Smeargle,normal,none,55,20,35,20,45,75,2,0
Tyrogue,fighting,none,35,35,35,35,35,35,2,0
Hitmontop,fighting,none,50,95,95,35,110,70,2,0
Smoochum,ice,psychic,45,30,15,85,65,65,2,0
Elekid,electric,none,45,63,37,65,55,95,2,0
Magby,fire,none,45,75,37,70,55,83,2,0
Miltank,normal,none,95,80,105,40,70,100,2,0
Blissey,normal,none,255,10,10,75,135,55,2,0
Raikou,electric,none,90,85,75,115,100,115,2,1
Entei,fire,none,115,115,85,90,75,100,2,1
Suicune,water,none,100,75,115,90,115,85,2,1
Larvitar,rock,ground,50,64,50,45,50,41,2,0
Pupitar,rock,ground,70,84,70,65,70,51,2,0
Tyranitar,rock,dark,100,164,150,95,120,71,2,0
Lugia,psychic,flying,106,90,130,90,154,110,2,1
Ho-Oh,fire,flying,106,130,90,110,154,90,2,1
Celebi,psychic,grass,100,100,100,100,100,100,2,1
Treecko,grass,none,40,45,35,65,55,70,3,0
Grovyle,grass,none,50,65,45,85,65,95,3,0
Sceptile,grass,none,70,110,75,145,85,145,3,0
Torchic,fire,none,45,60,40,70,50,45,3,0
Combusken,fire,fighting,60,85,60,85,60,55,3,0
Blaziken,fire,fighting,80,160,80,130,80,100,3,0
Mudkip,water,none,50,70,50,50,50,40,3,0
Marshtomp,water,ground,70,85,70,60,70,50,3,0
Swampert,water,ground,100,150,110,95,110,70,3,0
Poochyena,dark,none,35,55,35,30,30,35,3,0
Mightyena,dark,none,70,90,70,60,60,70,3,0
Zigzagoon,normal,none,38,30,41,30,41,60,3,0
Linoone,normal,none,78,70,61,50,61,100,3,0
Wurmple,bug,none,45,45,35,20,30,20,3,0
Silcoon,bug,none,50,35,55,25,25,15,3,0
Beautifly,bug,flying,60,70,50,100,50,65,3,0
Cascoon,bug,none,50,35,55,25,25,15,3,0
Dustox,bug,poison,60,50,70,50,90,65,3,0
Lotad,water,grass,40,30,30,40,50,30,3,0
Lombre,water,grass,60,50,50,60,70,50,3,0
Ludicolo,water,grass,80,70,70,90,100,70,3,0
Seedot,grass,none,40,40,50,30,30,30,3,0
Nuzleaf,grass,dark,70,70,40,60,40,60,3,0
Shiftry,grass,dark,90,100,60,90,60,80,3,0
Taillow,normal,flying,40,55,30,30,30,85,3,0
Swellow,normal,flying,60,85,60,75,50,125,3,0
Wingull,water,flying,40,30,30,55,30,85,3,0
Pelipper,water,flying,60,50,100,95,70,65,3,0
Ralts,psychic,fairy,28,25,25,45,35,40,3,0
Kirlia,psychic,fairy,38,35,35,65,55,50,3,0
Gardevoir,psychic,fairy,68,85,65,165,135,100,3,0
Surskit,bug,water,40,30,32,50,52,65,3,0
Masquerain,bug,flying,70,60,62,100,82,80,3,0
Shroomish,grass,none,60,40,60,40,60,35,3,0
Breloom,grass,fighting,60,130,80,60,60,70,3,0
Slakoth,normal,none,60,60,60,35,35,30,3,0
Vigoroth,normal,none,80,80,80,55,55,90,3,0
Slaking,normal,none,150,160,100,95,65,100,3,0
Nincada,bug,ground,31,45,90,30,30,40,3,0
Ninjask,bug,flying,61,90,45,50,50,160,3,0
Shedinja,bug,ghost,1,90,45,30,30,40,3,0
Whismur,normal,none,64,51,23,51,23,28,3,0
Loudred,normal,none,84,71,43,71,43,48,3,0
Exploud,normal,none,104,91,63,91,73,68,3,0
Makuhita,fighting,none,72,60,30,20,30,25,3,0
Hariyama,fighting,none,144,120,60,40,60,50,3,0
Azurill,normal,fairy,50,20,40,20,40,20,3,0
Nosepass,rock,none,30,45,135,45,90,30,3,0
Skitty,normal,none,50,45,45,35,35,50,3,0
Delcatty,normal,none,70,65,65,55,55,90,3,0
Sableye,dark,ghost,50,85,125,85,115,20,3,0
Mawile,steel,fairy,50,105,125,55,95,50,3,0
Aron,steel,rock,50,70,100,40,40,30,3,0
Lairon,steel,rock,60,90,140,50,50,40,3,0
Aggron,steel,rock,70,140,230,60,80,50,3,0
Meditite,fighting,psychic,30,40,55,40,55,60,3,0
Medicham,fighting,psychic,60,100,85,80,85,100,3,0
Electrike,electric,none,40,45,40,65,40,65,3,0
Manectric,electric,none,70,75,80,135,80,135,3,0
Plusle,electric,none,60,50,40,85,75,95,3,0
Minun,electric,none,60,40,50,75,85,95,3,0
Volbeat,bug,none,65,73,75,47,85,85,3,0
Illumise,bug,none,65,47,75,73,85,85,3,0
Roselia,grass,poison,50,60,45,100,80,65,3,0
Gulpin,poison,none,70,43,53,43,53,40,3,0
Swalot,poison,none,100,73,83,73,83,55,3,0
Carvanha,water,dark,45,90,20,65,20,65,3,0
Sharpedo,water,dark,70,140,70,110,65,105,3,0
Wailmer,water,none,130,70,35,70,35,60,3,0
Wailord,water,none,170,90,45,90,45,60,3,0
Numel,fire,ground,60,60,40,65,45,35,3,0
Camerupt,fire,ground,70,120,100,145,105,20,3,0
Torkoal,fire,none,70,85,140,85,70,20,3,0
Spoink,psychic,none,60,25,35,70,80,60,3,0
Grumpig,psychic,none,80,45,65,90,110,80,3,0
Spinda,normal,none,60,60,60,60,60,60,3,0
Trapinch,ground,none,45,100,45,45,45,10,3,0
Vibrava,ground,dragon,50,70,50,50,50,70,3,0
Flygon,ground,dragon,80,100,80,80,80,100,3,0
Cacnea,grass,none,50,85,40,85,40,35,3,0
Cacturne,grass,dark,70,115,60,115,60,55,3,0
Swablu,normal,flying,45,40,60,40,75,50,3,0
Altaria,dragon,flying,75,110,110,110,105,80,3,0
Zangoose,normal,none,73,115,60,60,60,90,3,0
Seviper,poison,none,73,100,60,100,60,65,3,0
Lunatone,rock,psychic,90,55,65,95,85,70,3,0
Solrock,rock,psychic,90,95,85,55,65,70,3,0
Barboach,water,ground,50,48,43,46,41,60,3,0
Whiscash,water,ground,110,78,73,76,71,60,3,0
Corphish,water,none,43,80,65,50,35,35,3,0
Crawdaunt,water,dark,63,120,85,90,55,55,3,0
Baltoy,ground,psychic,40,40,55,40,70,55,3,0
Claydol,ground,psychic,60,70,105,70,120,75,3,0
Lileep,rock,grass,66,41,77,61,87,23,3,0
Cradily,rock,grass,86,81,97,81,107,43,3,0
Anorith,rock,bug,45,95,50,40,50,75,3,0
Armaldo,rock,bug,75,125,100,70,80,45,3,0
Feebas,water,none,20,15,20,10,55,80,3,0
Milotic,water,none,95,60,79,100,125,81,3,0
Castform,normal,none,70,70,70,70,70,70,3,0
Kecleon,normal,none,60,90,70,60,120,40,3,0
Shuppet,ghost,none,44,75,35,63,33,45,3,0
Banette,ghost,none,64,165,75,93,83,75,3,0
Duskull,ghost,none,20,40,90,30,90,25,3,0
Dusclops,ghost,none,40,70,130,60,130,25,3,0
Tropius,grass,flying,99,68,83,72,87,51,3,0
Chimecho,psychic,none,75,50,80,95,90,65,3,0
Absol,dark,none,65,150,60,115,60,115,3,0
Wynaut,psychic,none,95,23,48,23,48,23,3,0
Snorunt,ice,none,50,50,50,50,50,50,3,0
Glalie,ice,none,80,120,80,120,80,100,3,0
Spheal,ice,water,70,40,50,55,50,25,3,0
Sealeo,ice,water,90,60,70,75,70,45,3,0
Walrein,ice,water,110,80,90,95,90,65,3,0
Clamperl,water,none,35,64,85,74,55,32,3,0
Huntail,water,none,55,104,105,94,75,52,3,0
Gorebyss,water,none,55,84,105,114,75,52,3,0
Relicanth,water,rock,100,90,130,45,65,55,3,0
Luvdisc,water,none,43,30,55,40,65,97,3,0
Bagon,dragon,none,45,75,60,40,30,50,3,0
Shelgon,dragon,none,65,95,100,60,50,50,3,0
Salamence,dragon,flying,95,145,130,120,90,120,3,0
Beldum,steel,psychic,40,55,80,35,60,30,3,0
Metang,steel,psychic,60,75,100,55,80,50,3,0
Metagross,steel,psychic,80,145,150,105,110,110,3,0
Regirock,rock,none,80,100,200,50,100,50,3,1
Regice,ice,none,80,50,100,100,200,50,3,1
Registeel,steel,none,80,75,150,75,150,50,3,1
Latias,dragon,psychic,80,100,120,140,150,110,3,1
Latios,dragon,psychic,80,130,100,160,120,110,3,1
Kyogre,water,none,100,150,90,180,160,90,3,1
Groudon,ground,none,100,180,160,150,90,90,3,1
Rayquaza,dragon,flying,105,180,100,180,100,115,3,1
Jirachi,steel,psychic,100,100,100,100,100,100,3,1
Deoxys,psychic,none,50,95,90,95,90,180,3,1
Turtwig,grass,none,55,68,64,45,55,31,4,0
Grotle,grass,none,75,89,85,55,65,36,4,0
Torterra,grass,ground,95,109,105,75,85,56,4,0
Chimchar,fire,none,44,58,44,58,44,61,4,0
Monferno,fire,fighting,64,78,52,78,52,81,4,0
Infernape,fire,fighting,76,104,71,104,71,108,4,0
Piplup,water,none,53,51,53,61,56,40,4,0
Prinplup,water,none,64,66,68,81,76,50,4,0
Empoleon,water,steel,84,86,88,111,101,60,4,0
Starly,normal,flying,40,55,30,30,30,60,4,0
Staravia,normal,flying,55,75,50,40,40,80,4,0
Staraptor,normal,flying,85,120,70,50,60,100,4,0
Bidoof,normal,none,59,45,40,35,40,31,4,0
Bibarel,normal,water,79,85,60,55,60,71,4,0
Kricketot,bug,none,37,25,41,25,41,25,4,0
Kricketune,bug,none,77,85,51,55,51,65,4,0
Shinx,electric,none,45,65,34,40,34,45,4,0
Luxio,electric,none,60,85,49,60,49,60,4,0
Luxray,electric,none,80,120,79,95,79,70,4,0
Budew,grass,poison,40,30,35,50,70,55,4,0
Roserade,grass,poison,60,70,65,125,105,90,4,0
Cranidos,rock,none,67,125,40,30,30,58,4,0
Rampardos,rock,none,97,165,60,65,50,58,4,0
Shieldon,rock,steel,30,42,118,42,88,30,4,0
Bastiodon,rock,steel,60,52,168,47,138,30,4,0
Burmy,bug,none,40,29,45,29,45,36,4,0
Wormadam,bug,grass,60,69,95,69,95,36,4,0
Mothim,bug,flying,70,94,50,94,50,66,4,0
Combee,bug,flying,30,30,42,30,42,70,4,0
Vespiquen,bug,flying,70,80,102,80,102,40,4,0
Pachirisu,electric,none,60,45,70,45,90,95,4,0
Buizel,water,none,55,65,35,60,30,85,4,0
Floatzel,water,none,85,105,55,85,50,115,4,0
Cherubi,grass,none,45,35,45,62,53,35,4,0
Cherrim,grass,none,70,60,70,87,78,85,4,0
Shellos,water,none,76,48,48,57,62,34,4,0
Gastrodon,water,ground,111,83,68,92,82,39,4,0
Ambipom,normal,none,75,100,66,60,66,115,4,0
Drifloon,ghost,flying,90,50,34,60,44,70,4,0
Drifblim,ghost,flying,150,80,44,90,54,80,4,0
Buneary,normal,none,55,66,44,44,56,85,4,0
Lopunny,normal,none,65,136,94,54,96,135,4,0
Mismagius,ghost,none,60,60,60,105,105,105,4,0
Honchkrow,dark,flying,100,125,52,105,52,71,4,0
Glameow,normal,none,49,55,42,42,37,85,4,0
Purugly,normal,none,71,82,64,64,59,112,4,0
Chingling,psychic,none,45,30,50,65,50,45,4,0
Stunky,poison,dark,63,63,47,41,41,74,4,0
Skuntank,poison,dark,103,93,67,71,61,84,4,0
Bronzor,steel,psychic,57,24,86,24,86,23,4,0
Bronzong,steel,psychic,67,89,116,79,116,33,4,0
Bonsly,rock,none,50,80,95,10,45,10,4,0
Mime Jr.,psychic,fairy,20,25,45,70,90,60,4,0
Happiny,normal,none,100,5,5,15,65,30,4,0
Chatot,normal,flying,76,65,45,92,42,91,4,0
Spiritomb,ghost,dark,50,92,108,92,108,35,4,0
Gible,dragon,ground,58,70,45,40,45,42,4,0
Gabite,dragon,ground,68,90,65,50,55,82,4,0
Garchomp,dragon,ground,108,170,115,120,95,92,4,0
Munchlax,normal,none,135,85,40,40,85,5,4,0
Riolu,fighting,none,40,70,40,35,40,60,4,0
Lucario,fighting,steel,70,145,88,140,70,112,4,0
Hippopotas,ground,none,68,72,78,38,42,32,4,0
Hippowdon,ground,none,108,112,118,68,72,47,4,0
Skorupi,poison,bug,40,50,90,30,55,65,4,0
Drapion,poison,dark,70,90,110,60,75,95,4,0
Croagunk,poison,fighting,48,61,40,61,40,50,4,0
Toxicroak,poison,fighting,83,106,65,86,65,85,4,0
Carnivine,grass,none,74,100,72,90,72,46,4,0
Finneon,water,none,49,49,56,49,61,66,4,0
Lumineon,water,none,69,69,76,69,86,91,4,0
Mantyke,water,flying,45,20,50,60,120,50,4,0
Snover,grass,ice,60,62,50,62,60,40,4,0
Abomasnow,grass,ice,90,132,105,132,105,30,4,0
Weavile,dark,ice,70,120,65,45,85,125,4,0
Magnezone,electric,steel,70,70,115,130,90,60,4,0
Lickilicky,normal,none,110,85,95,80,95,50,4,0
Rhyperior,ground,rock,115,140,130,55,55,40,4,0
Tangrowth,grass,none,100,100,125,110,50,50,4,0
Electivire,electric,none,75,123,67,95,85,95,4,0
Magmortar,fire,none,75,95,67,125,95,83,4,0
Togekiss,fairy,flying,85,50,95,120,115,80,4,0
Yanmega,bug,flying,86,76,86,116,56,95,4,0
Leafeon,grass,none,65,110,130,60,65,95,4,0
Glaceon,ice,none,65,60,110,130,95,65,4,0
Gliscor,ground,flying,75,95,125,45,75,95,4,0
Mamoswine,ice,ground,110,130,80,70,60,80,4,0
Porygon-Z,normal,none,85,80,70,135,75,90,4,0
Gallade,psychic,fighting,68,165,95,65,115,110,4,0
Probopass,rock,steel,60,55,145,75,150,40,4,0
Dusknoir,ghost,none,45,100,135,65,135,45,4,0
Froslass,ice,ghost,70,80,70,80,70,110,4,0
Rotom,electric,ghost,50,65,107,105,107,86,4,0
Uxie,psychic,none,75,75,130,75,130,95,4,1
Mesprit,psychic,none,80,105,105,105,105,80,4,1
Azelf,psychic,none,75,125,70,125,70,115,4,1
Dialga,steel,dragon,100,120,120,150,100,90,4,1
Palkia,water,dragon,90,120,100,150,120,100,4,1
Heatran,fire,steel,91,90,106,130,106,77,4,1
Regigigas,normal,none,110,160,110,80,110,100,4,1
Giratina,ghost,dragon,150,120,100,120,100,90,4,1
Cresselia,psychic,none,120,70,120,75,130,85,4,1
Phione,water,none,80,80,80,80,80,80,4,0
Manaphy,water,none,100,100,100,100,100,100,4,1
Darkrai,dark,none,70,90,90,135,90,125,4,1
Shaymin,grass,grass,100,103,75,120,75,127,4,1
Arceus,normal,none,120,120,120,120,120,120,4,1
Victini,psychic,fire,100,100,100,100,100,100,5,1
Snivy,grass,none,45,45,55,45,55,63,5,0
Servine,grass,none,60,60,75,60,75,83,5,0
Serperior,grass,none,75,75,95,75,95,113,5,0
Tepig,fire,none,65,63,45,45,45,45,5,0
Pignite,fire,fighting,90,93,55,70,55,55,5,0
Emboar,fire,fighting,110,123,65,100,65,65,5,0
Oshawott,water,none,55,55,45,63,45,45,5,0
Dewott,water,none,75,75,60,83,60,60,5,0
Samurott,water,none,95,100,85,108,70,70,5,0
Patrat,normal,none,45,55,39,35,39,42,5,0
Watchog,normal,none,60,85,69,60,69,77,5,0
Lillipup,normal,none,45,60,45,25,45,55,5,0
Herdier,normal,none,65,80,65,35,65,60,5,0
Stoutland,normal,none,85,110,90,45,90,80,5,0
Purrloin,dark,none,41,50,37,50,37,66,5,0
Liepard,dark,none,64,88,50,88,50,106,5,0
Pansage,grass,none,50,53,48,53,48,64,5,0
